date,researcher,screening_round,extract,extract_fraction,concentration,organism,biological_rep,technical_rep,time_point,luminescence
20180822,SV,6,CTRL,DMSO,4,EC,1,1,0,258
20180822,SV,6,CTRL,DMSO,4,EC,1,2,0,254
20180822,SV,6,CTRL,Kanamycin,1000,EC,1,1,0,136
20180822,SV,6,CTRL,Kanamycin,1000,EC,1,2,0,102
20180822,SV,6,CTRL,Broth,1,EC,1,1,0,4
20180822,SV,6,CTRL,Broth,1,EC,1,2,0,4
20180822,SV,6,CTRL,DMSO,2,EC,1,1,0,312
20180822,SV,6,CTRL,DMSO,2,EC,1,2,0,316
20180822,SV,6,CTRL,Kanamycin,500,EC,1,1,0,194
20180822,SV,6,CTRL,Kanamycin,500,EC,1,2,0,192
20180822,SV,6,CTRL,Broth,0.5,EC,1,1,0,2
20180822,SV,6,CTRL,Broth,0.5,EC,1,2,0,2
20180822,SV,6,CTRL,DMSO,1,EC,1,1,0,374
20180822,SV,6,CTRL,DMSO,1,EC,1,2,0,372
20180822,SV,6,CTRL,Kanamycin,250,EC,1,1,0,304
20180822,SV,6,CTRL,Kanamycin,250,EC,1,2,0,278
20180822,SV,6,CTRL,Broth,0.25,EC,1,1,0,2
20180822,SV,6,CTRL,Broth,0.25,EC,1,2,0,2
20180822,SV,6,CTRL,DMSO,0.5,EC,1,1,0,378
20180822,SV,6,CTRL,DMSO,0.5,EC,1,2,0,374
20180822,SV,6,CTRL,Kanamycin,125,EC,1,1,0,334
20180822,SV,6,CTRL,Kanamycin,125,EC,1,2,0,332
20180822,SV,6,CTRL,Broth,0.125,EC,1,1,0,2
20180822,SV,6,CTRL,Broth,0.125,EC,1,2,0,2
20180822,SV,6,CTRL,DMSO,0.25,EC,1,1,0,424
20180822,SV,6,CTRL,DMSO,0.25,EC,1,2,0,380
20180822,SV,6,CTRL,Kanamycin,62.5,EC,1,1,0,336
20180822,SV,6,CTRL,Kanamycin,62.5,EC,1,2,0,360
20180822,SV,6,CTRL,Broth,0.0625,EC,1,1,0,0
20180822,SV,6,CTRL,Broth,0.0625,EC,1,2,0,2
20180822,SV,6,CTRL,DMSO,0.125,EC,1,1,0,348
20180822,SV,6,CTRL,DMSO,0.125,EC,1,2,0,396
20180822,SV,6,CTRL,Kanamycin,31.25,EC,1,1,0,388
